,day,month,year,Cleaned_Tweets,Retweets,Likes
77,3,2,2022,Starship is in a different league. Orders of magnitude more mass to orbit than Falcon. Necessary for creating a self-sustaining city on Mars.,255,3980
78,4,2,2022,A bigger win than it may seem,624,14230
79,5,2,2022,,209,6592
80,5,2,2022,All these different standards for electricity are a tax on humanity,879,14033
81,5,2,2022,Gavin is kinda badass in this vid,89,1695
82,5,2,2022,"We have to solve a huge part of AI just to make cars drive themselves. In retrospect, it was inevitable. The road system is designed for cameras eyes amp neural nets brains.",334,3923
83,5,2,2022,Double-standard,4002,36942
84,5,2,2022,Itâs not my money,23356,93199
85,5,2,2022,Only very high resolution radar is relevant,162,2604
86,6,2,2022,The Boring Company just connected Resorts World hotel to Vegas Convention Center,1132,17362
87,6,2,2022,"As backdrops go, this is a good one",369,7665
88,6,2,2022,"Iâm pro vaccination, but anti vaccination mandate",8734,64294
89,6,2,2022,Agreed,471,9636
90,6,2,2022,Munro understands,484,9333
91,6,2,2022, Thank You for Smoking ,12358,155465
92,6,2,2022,Tesla Model S amp X Plaid are so fun,3135,39039
93,6,2,2022,Extended tracking shot of Falcon 9,3025,28803
94,6,2,2022,Satire,1979,55247
95,7,2,2022,"Most news outlets attempt to answer the question: âWhat are the worst things happening on Earth todayâItâs a big planet Obviously, some bad things are happening somewhere at any given time, but focusing relentlessly on those does not give an accurate picture of reality.",16191,149275
96,7,2,2022,So hard to find out whatâs going on in the world without being bombarded with news that makes one sad amp angry,1036,14469
97,7,2,2022,"True, careless negativity destruction is much harder than thoughtful positivity creation",577,7514
98,7,2,2022,Sadly true,202,6840
99,7,2,2022,"Thatâs true to some degree, but citizen podcasts that arenât negative like Rogan, Fridman, Dodd, TED interviews, etc are very popular. Maybe part of why traditional media outlets are so negative is because old habits die hard They so rarely even try to be positive.",1669,26489
100,7,2,2022,Why is the âtraditionalâ media such a relentless hatestream Real question.,38922,336478
101,7,2,2022,Not needed,182,3558
102,7,2,2022,It was so crazy The insane tweet FUD campaign amp press hatestream of 2017-2019 is still easily found.,364,5287
103,7,2,2022,Always look on the bright side of life,29187,250498
104,7,2,2022,Nice,151,4955
105,7,2,2022,True,76,1808
106,7,2,2022,What a hypocrite,307,4696
107,7,2,2022,High time we had tunnels,434,7481
108,7,2,2022,Fate  Irony,749,11381
109,8,2,2022,Yup,324,7282
110,8,2,2022,Tesla,1580,21790
111,8,2,2022,"Thanks, this made a difference",723,13383
112,9,2,2022,This would generate a lot of goodwill,157,2750
113,9,2,2022,  ,666,16200
114,9,2,2022,Model X is an extremely difficult car to build. Most complex passenger car ever. Limiting factor is interior trim.,239,4464
115,9,2,2022,We dropped the ball badly regarding new Model X production ramp amp still havenât fully recovered. Was idiotic to stop production of old X in Dec 2020 when there was still plenty of demand,318,4894
116,9,2,2022,Pretty much,437,8460
117,9,2,2022,Much appreciated,2653,34372
118,10,2,2022,Tower arms are lifting Starship onto Super Heavy Booster,4966,67129
119,10,2,2022,Human for scale,310,7793
120,10,2,2022,Good question,560,19210
121,11,2,2022,Exactly,490,9507
122,11,2,2022,"Happy birthday, Jared",248,8104
123,11,2,2022,"The duty of a leader is to serve their people, not for the people to serve them",104480,591457
124,11,2,2022,Car should also reverse slightly if it peeks into an intersection amp sees fast-moving cross-traffic just like a person would,318,7056
125,11,2,2022,Probably 250 t-F by end of year,1035,25217
126,11,2,2022,"Later this year, remaining fussy bits will be gone, allowing deletion of shroud",307,6845
127,11,2,2022,"True national debt, including unfunded entitlements, is at least 60 trillion â roughly three times the size of the entire US economy. Something has got to give.",4784,31835
128,11,2,2022,Looming disaster for sure,191,3816
129,11,2,2022,True,494,14179
130,12,2,2022,That was a tough one. New Model Y structural pack is next-level though.,622,9038
131,12,2,2022,High standard,1823,44061
132,13,2,2022,Great,260,5993
133,13,2,2022,So many layers with Tesla FSD AI,191,3810
134,13,2,2022,Tim is great,247,6704
135,13,2,2022,The pledge is good no matter what,226,3851
136,13,2,2022,"Yup, we need to do that",291,10749
137,13,2,2022,Ancient times,461,10147
138,13,2,2022,The fun police made us do it sigh,280,4667
139,13,2,2022,Now Tesla is worth a trilly willy,958,14178
140,13,2,2022,Moving to 33 engines on next booster,586,10349
141,14,2,2022,"Wow, thatâs a lot of podcasts Ok, I will do one. Maybe we could combine with Dave Lee and a few others.",1576,45479
142,14,2,2022,Destacking Starship,7018,77609
143,14,2,2022,Over 250k Starlink user terminals,7236,129813
144,14,2,2022,System is working well in Australia amp New Zealand,82,1779
145,14,2,2022,"Yes, but more ground stations amp improved packet routing will make a bigger difference",253,5741
146,14,2,2022,Announcements coming soon,267,3701
147,15,2,2022,Election time will be interesting,924,12621
148,15,2,2022,Starship to Mars simulation,7746,70538
149,15,2,2022,This will be real in our lifetime,3689,60180
150,16,2,2022,Some carmakers are trying hard,198,4606
151,16,2,2022,ahem,2451,36618
