day,month,year,Cleaned_Tweets,Retweets,Likes
7,2,2022,"Most news outlets attempt to answer the question: âWhat are the worst things happening on Earth todayâItâs a big planet Obviously, some bad things are happening somewhere at any given time, but focusing relentlessly on those does not give an accurate picture of reality.",16191,149275
7,2,2022,So hard to find out whatâs going on in the world without being bombarded with news that makes one sad amp angry,1036,14469
7,2,2022,"True, careless negativity destruction is much harder than thoughtful positivity creation",577,7514
7,2,2022,Sadly true,202,6840
7,2,2022,"Thatâs true to some degree, but citizen podcasts that arenât negative like Rogan, Fridman, Dodd, TED interviews, etc are very popular. Maybe part of why traditional media outlets are so negative is because old habits die hard They so rarely even try to be positive.",1669,26489
7,2,2022,Why is the âtraditionalâ media such a relentless hatestream Real question.,38922,336478
7,2,2022,Not needed,182,3558
7,2,2022,It was so crazy The insane tweet FUD campaign amp press hatestream of 2017-2019 is still easily found.,364,5287
7,2,2022,Always look on the bright side of life,29187,250498
7,2,2022,Nice,151,4955
7,2,2022,True,76,1808
7,2,2022,What a hypocrite,307,4696
7,2,2022,High time we had tunnels,434,7481
7,2,2022,Fate  Irony,749,11381
8,2,2022,Yup,324,7282
8,2,2022,Tesla,1580,21790
8,2,2022,"Thanks, this made a difference",723,13383
9,2,2022,This would generate a lot of goodwill,157,2750
9,2,2022,  ,666,16200
9,2,2022,Model X is an extremely difficult car to build. Most complex passenger car ever. Limiting factor is interior trim.,239,4464
9,2,2022,We dropped the ball badly regarding new Model X production ramp amp still havenât fully recovered. Was idiotic to stop production of old X in Dec 2020 when there was still plenty of demand,318,4894
9,2,2022,Pretty much,437,8460
9,2,2022,Much appreciated,2653,34372
10,2,2022,Tower arms are lifting Starship onto Super Heavy Booster,4966,67129
10,2,2022,Human for scale,310,7793
10,2,2022,Good question,560,19210
11,2,2022,Exactly,490,9507
11,2,2022,"Happy birthday, Jared",248,8104
11,2,2022,"The duty of a leader is to serve their people, not for the people to serve them",104480,591457
11,2,2022,Car should also reverse slightly if it peeks into an intersection amp sees fast-moving cross-traffic just like a person would,318,7056
11,2,2022,Probably 250 t-F by end of year,1035,25217
11,2,2022,"Later this year, remaining fussy bits will be gone, allowing deletion of shroud",307,6845
11,2,2022,"True national debt, including unfunded entitlements, is at least 60 trillion â roughly three times the size of the entire US economy. Something has got to give.",4784,31835
11,2,2022,Looming disaster for sure,191,3816
11,2,2022,True,494,14179
12,2,2022,That was a tough one. New Model Y structural pack is next-level though.,622,9038
12,2,2022,High standard,1823,44061
13,2,2022,Great,260,5993
13,2,2022,So many layers with Tesla FSD AI,191,3810
13,2,2022,Tim is great,247,6704
13,2,2022,The pledge is good no matter what,226,3851
13,2,2022,"Yup, we need to do that",291,10749
13,2,2022,Ancient times,461,10147
13,2,2022,The fun police made us do it sigh,280,4667
13,2,2022,Now Tesla is worth a trilly willy,958,14178
13,2,2022,Moving to 33 engines on next booster,586,10349
14,2,2022,"Wow, thatâs a lot of podcasts Ok, I will do one. Maybe we could combine with Dave Lee and a few others.",1576,45479
14,2,2022,Destacking Starship,7018,77609
14,2,2022,Over 250k Starlink user terminals,7236,129813
14,2,2022,System is working well in Australia amp New Zealand,82,1779
14,2,2022,"Yes, but more ground stations amp improved packet routing will make a bigger difference",253,5741
14,2,2022,Announcements coming soon,267,3701
15,2,2022,Election time will be interesting,924,12621
15,2,2022,Starship to Mars simulation,7746,70538
15,2,2022,This will be real in our lifetime,3689,60180
16,2,2022,Some carmakers are trying hard,198,4606
16,2,2022,ahem,2451,36618
16,2,2022,"I was at a lunch with Munger in 2009 where he told the whole table all the ways Tesla would fail. Made me quite sad, but I told him I agreed with all those reasons amp that we would probably die, but it was worth trying anyway.",12701,120729
16,2,2022,No way ,396,9836
16,2,2022,Agreed. This has been broken for a long time.,936,18222
16,2,2022,Ok,72,2433
17,2,2022,Model 3 is literally the most made in America car in â well of course â America,1978,29669
17,2,2022,High pain threshold,720,15889
17,2,2022,"For an in-depth explanation, read",349,3196
17,2,2022,Reasons to hate are remembered better than reasons to love,33195,247008
17,2,2022,"An evolutionary asymmetry helpful to survival, but counterproductive when survival is not at stake",5094,82481
18,2,2022,So amazing that we decompress from a single cell to over 30 trillion cells,12705,186188
18,2,2022,â,626,18303
18,2,2022,Pretty much ,1251,51790
18,2,2022,Plaid Model S amp X are sublime,262,5797
18,2,2022,Product gt Marketing,1013,11595
18,2,2022,Absolutely,407,7235
19,2,2022,We have a very talented team,902,23914
19,2,2022,"I wish I could help. At this point, it seems that voting at the next election is the remedy.",2489,23657
19,2,2022,"Actually, April 7th",377,4631
19,2,2022,"SpaceXâs goal is to make life multiplanetary, whereas their goal is to put a handful of satellites in orbit",459,5545
19,2,2022,Are they even trying,203,5785
19,2,2022,Yes,137,3314
19,2,2022,April 1st,275,4058
19,2,2022,"And, of course, you can pay in Ãoge",2853,13681
19,2,2022,We are a mobile cell colony,409,8985
19,2,2022,"Lucky bastards, we are",1033,19713
19,2,2022,Yes,104,2223
19,2,2022,And futuristic diner / drive-in theater planned for Hollywood area,811,10903
19,2,2022,Indeed,273,5972
20,2,2022,I think it will reach,2663,88140
20,2,2022,Probably,219,4364
20,2,2022,"Yes, in the air",112,2358
20,2,2022,Cybertruck,336,4294
20,2,2022,"Depends mostly on FAA certification, but hopefully within 6 months. Weâre testing on Gulfstreams to debug issues, but deployment priority is commercial airliners.",171,2631
20,2,2022,Seriously. How long must this go on,591,12998
20,2,2022,True,106,2270
20,2,2022,"Will visit IRS next time Iâm in DC just to say hi, since I paid the most taxes ever in history for an individual last year. Maybe I can have a cookie or something â",11514,92910
20,2,2022,Hypocritical megadouche,2532,21783
20,2,2022,Iâm dropping a new album,4801,108008
21,2,2022,Entertainment is becoming a username/password/2FA nightmare,19940,215515
21,2,2022,"Sounds good, we will send one over",227,4309
21,2,2022,That would be great,118,1949
21,2,2022,"Maybe near BRO airport, since that serves both communities",171,4003
21,2,2022,"If South Padre and/or Brownsville would like a Starship prototype, we can send one over",471,9114
